epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,966.043,0.34448,0.83392,0.93052,0.98833,1,0.995,0.995,0.37566,1.29867,0.98235,6.9264e-05,6.9264e-05,6.9264e-05
82,978.753,0.39639,0.91521,1.00538,0.98804,1,0.995,0.91363,0.38608,1.2836,0.99612,6.59673e-05,6.59673e-05,6.59673e-05
83,991.074,0.38421,0.91693,0.94538,0.98804,1,0.995,0.91363,0.38608,1.2836,0.99612,6.26706e-05,6.26706e-05,6.26706e-05
84,1002.35,0.41073,0.86775,0.96996,0.98815,1,0.995,0.91363,0.39003,1.28738,1.0056,5.93739e-05,5.93739e-05,5.93739e-05
85,1014.05,0.36624,0.83344,0.95756,0.98847,1,0.995,0.91353,0.39261,1.31878,1.00945,5.60772e-05,5.60772e-05,5.60772e-05
86,1025.73,0.3727,0.80372,0.94141,0.98831,1,0.995,0.91358,0.39966,1.32012,1.00997,5.27805e-05,5.27805e-05,5.27805e-05
87,1038.58,0.39515,0.91314,0.95547,0.98831,1,0.995,0.91358,0.39966,1.32012,1.00997,4.94838e-05,4.94838e-05,4.94838e-05
88,1050.97,0.315,0.83345,0.89945,0.98821,1,0.995,0.91353,0.40124,1.30737,1.00817,4.61871e-05,4.61871e-05,4.61871e-05
89,1062.53,0.3723,0.83322,0.95673,0.98835,1,0.995,0.91348,0.40266,1.31081,1.00722,4.28904e-05,4.28904e-05,4.28904e-05
90,1073.74,0.369,0.87956,0.9507,0.98821,1,0.995,0.91353,0.40473,1.30035,1.0069,3.95937e-05,3.95937e-05,3.95937e-05
91,1084.8,0.26762,1.16889,0.8602,0.98821,1,0.995,0.91353,0.40473,1.30035,1.0069,3.6297e-05,3.6297e-05,3.6297e-05
92,1095.94,0.21981,1.13242,0.82757,0.98799,1,0.995,0.91353,0.41006,1.25834,1.01735,3.30003e-05,3.30003e-05,3.30003e-05
93,1106.93,0.24935,1.14995,0.83006,0.98803,1,0.995,0.91348,0.41595,1.22856,1.02921,2.97036e-05,2.97036e-05,2.97036e-05
94,1118.01,0.21638,1.16609,0.83186,0.9877,1,0.995,0.91348,0.41525,1.1873,1.03194,2.64069e-05,2.64069e-05,2.64069e-05
95,1129.16,0.24363,1.14306,0.83216,0.9877,1,0.995,0.91348,0.41525,1.1873,1.03194,2.31102e-05,2.31102e-05,2.31102e-05
96,1140.35,0.22383,1.07778,0.80919,0.98763,1,0.995,0.91332,0.4202,1.16927,1.03559,1.98135e-05,1.98135e-05,1.98135e-05
97,1152.28,0.22999,1.11958,0.84515,0.98764,1,0.995,0.91332,0.42376,1.16848,1.03863,1.65168e-05,1.65168e-05,1.65168e-05
98,1163.42,0.21716,1.08131,0.80589,0.98752,1,0.995,0.91326,0.42669,1.15427,1.03941,1.32201e-05,1.32201e-05,1.32201e-05
99,1174.74,0.21982,1.10281,0.83042,0.98752,1,0.995,0.91326,0.42669,1.15427,1.03941,9.9234e-06,9.9234e-06,9.9234e-06
100,1186.99,0.2224,1.13583,0.83046,0.98743,1,0.995,0.91326,0.43157,1.15082,1.04126,6.6267e-06,6.6267e-06,6.6267e-06
